order_details_id;order_id;pizza_id;order_date;order_time;unit_price;total_price;pizza_size;pizza_category;pizza_ingredients;pizza_name;lead_time
1;1;hawaiian_m;2015-01-01 00:00:00;11:38:36;13,25;13,25;M;Classic;Sliced Ham, Pineapple, Mozzarella Cheese;The Hawaiian Pizza;2015-01-01 11:53:30
2;2;classic_dlx_m;2015-01-01 00:00:00;11:57:40;16;16;M;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza;2015-01-01 12:16:26
3;2;five_cheese_l;2015-01-01 00:00:00;11:57:40;18,5;18,5;L;Veggie;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic;The Five Cheese Pizza;2015-01-01 12:16:19
4;2;ital_supr_l;2015-01-01 00:00:00;11:57:40;20,75;20,75;L;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 12:10:58
5;2;mexicana_m;2015-01-01 00:00:00;11:57:40;16;16;M;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-01 12:14:24
6;2;thai_ckn_l;2015-01-01 00:00:00;11:57:40;20,75;20,75;L;Chicken;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce;The Thai Chicken Pizza;2015-01-01 12:16:44
7;3;ital_supr_m;2015-01-01 00:00:00;12:12:28;16,5;16,5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 12:30:43
8;3;prsc_argla_l;2015-01-01 00:00:00;12:12:28;20,75;20,75;L;Supreme;Prosciutto di San Daniele, Arugula, Mozzarella Cheese;The Prosciutto and Arugula Pizza;2015-01-01 12:28:51
9;4;ital_supr_m;2015-01-01 00:00:00;12:16:31;16,5;16,5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 12:33:47
10;5;ital_supr_m;2015-01-01 00:00:00;12:21:30;16,5;16,5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 12:35:42
11;6;bbq_ckn_s;2015-01-01 00:00:00;12:29:36;12,75;12,75;S;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-01 12:43:50
12;6;the_greek_s;2015-01-01 00:00:00;12:29:36;12;12;S;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza;2015-01-01 12:43:40
13;7;spinach_supr_s;2015-01-01 00:00:00;12:50:37;12,5;12,5;S;Supreme;Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese;The Spinach Supreme Pizza;2015-01-01 13:14:04
14;8;spinach_supr_s;2015-01-01 00:00:00;12:51:37;12,5;12,5;S;Supreme;Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese;The Spinach Supreme Pizza;2015-01-01 13:12:14
15;9;classic_dlx_s;2015-01-01 00:00:00;12:52:01;12;12;S;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza;2015-01-01 13:06:44
16;9;green_garden_s;2015-01-01 00:00:00;12:52:01;12;12;S;Veggie;Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese;The Green Garden Pizza;2015-01-01 13:14:27
17;9;ital_cpcllo_l;2015-01-01 00:00:00;12:52:01;20,5;20,5;L;Classic;Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano;The Italian Capocollo Pizza;2015-01-01 13:05:22
18;9;ital_supr_l;2015-01-01 00:00:00;12:52:01;20,75;20,75;L;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 13:05:42
19;9;ital_supr_s;2015-01-01 00:00:00;12:52:01;12,5;12,5;S;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-01 13:02:30
20;9;mexicana_s;2015-01-01 00:00:00;12:52:01;12;12;S;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-01 13:07:45
21;9;spicy_ital_l;2015-01-01 00:00:00;12:52:01;20,75;20,75;L;Supreme;Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic;The Spicy Italian Pizza;2015-01-01 13:05:52
22;9;spin_pesto_l;2015-01-01 00:00:00;12:52:01;20,75;20,75;L;Veggie;Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce;The Spinach Pesto Pizza;2015-01-01 13:09:47
23;9;veggie_veg_s;2015-01-01 00:00:00;12:52:01;12;12;S;Veggie;Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic;The Vegetables + Vegetables Pizza;2015-01-01 13:12:45
24;10;mexicana_l;2015-01-01 00:00:00;13:00:15;20,25;20,25;L;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-01 13:11:53
25;10;southw_ckn_l;2015-01-01 00:00:00;13:00:15;20,75;20,75;L;Chicken;Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce;The Southwest Chicken Pizza;2015-01-01 13:14:24
26;11;bbq_ckn_l;2015-01-01 00:00:00;13:02:59;20,75;20,75;L;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-01 13:19:25
